1/2647	(GI:18414039) is finished	(82.85 mins )
2/2647	(GI:15238452) is finished	(71.76 mins )
3/2647	(GI:145357661) is finished	(62.27 mins )
4/2647	(GI:15239687) is finished	(53.95 mins )
5/2647	(GI:186522588) is finished	(59.8 mins )
6/2647	(GI:18414504) is finished	(57.05 mins )
7/2647	(GI:15239049) is finished	(57.31 mins )
8/2647	(GI:15238311) is finished	(59.08 mins )
9/2647	(GI:30682659) is finished	(58.89 mins )
10/2647	(GI:18417957) is finished	(57.74 mins )
11/2647	(GI:15235088) is finished	(55.33 mins )
12/2647	(GI:42573323) is finished	(53.68 mins )
13/2647	(GI:145334311) is finished	(54.02 mins )
14/2647	(GI:15236103) is finished	(53.58 mins )
15/2647	(GI:186520313) is finished	(52.24 mins )
16/2647	(GI:15238194) is finished	(53.19 mins )
17/2647	(GI:15237967) is finished	(54.81 mins )
18/2647	(GI:15237211) is finished	(56.18 mins )
19/2647	(GI:18420584) is finished	(53.78 mins )
20/2647	(GI:30680994) is finished	(52.99 mins )
21/2647	(GI:15238886) is finished	(54.18 mins )
22/2647	(GI:18416676) is finished	(52.88 mins )
23/2647	(GI:30684143) is finished	(52.81 mins )
24/2647	(GI:30680681) is finished	(53.15 mins )
25/2647	(GI:186524238) is finished	(55.23 mins )
26/2647	(GI:15237989) is finished	(56.2 mins )
27/2647	(GI:15242221) is finished	(56.69 mins )
28/2647	(GI:15240694) is finished	(57.82 mins )
29/2647	(GI:42567548) is finished	(57.25 mins )
30/2647	(GI:18416832) is finished	(56.52 mins )
31/2647	(GI:186521875) is finished	(55.09 mins )
32/2647	(GI:15242365) is finished	(54.08 mins )
33/2647	(GI:186519603) is finished	(53.2 mins )
34/2647	(GI:30682405) is finished	(54.62 mins )
35/2647	(GI:18420546) is finished	(56.27 mins )
36/2647	(GI:186523788) is finished	(54.98 mins )
37/2647	(GI:15240835) is finished	(54.54 mins )
38/2647	(GI:18414179) is finished	(54.39 mins )
39/2647	(GI:238481201) is finished	(56.66 mins )
40/2647	(GI:15241375) is finished	(55.53 mins )
41/2647	(GI:186523129) is finished	(54.91 mins )
42/2647	(GI:30684467) is finished	(54.1 mins )
43/2647	(GI:186521415) is finished	(53.03 mins )
44/2647	(GI:15240633) is finished	(53.15 mins )
45/2647	(GI:18416839) is finished	(52.8 mins )
46/2647	(GI:145361901) is finished	(53.03 mins )
47/2647	(GI:42567704) is finished	(53.34 mins )
48/2647	(GI:15238766) is finished	(52.61 mins )
49/2647	(GI:145334397) is finished	(52.08 mins )
50/2647	(GI:79326584) is finished	(51.41 mins )
51/2647	(GI:42573255) is finished	(50.62 mins )
52/2647	(GI:18416698) is finished	(50.26 mins )
53/2647	(GI:15239928) is finished	(50.34 mins )
54/2647	(GI:15241320) is finished	(50.26 mins )
55/2647	(GI:15235111) is finished	(50.15 mins )
56/2647	(GI:22326858) is finished	(50.46 mins )
57/2647	(GI:30680478) is finished	(50.12 mins )
58/2647	(GI:240256286) is finished	(49.63 mins )
59/2647	(GI:15236057) is finished	(49.26 mins )
60/2647	(GI:15240088) is finished	(49.28 mins )
61/2647	(GI:186521301) is finished	(48.94 mins )
62/2647	(GI:42567719) is finished	(48.64 mins )
