1/8581	(GI:15230683) is finished	(217.62 mins )
2/8581	(GI:18399730) is finished	(164.54 mins )
3/8581	(GI:18401080) is finished	(215.57 mins )
4/8581	(GI:15228824) is finished	(204.39 mins )
5/8581	(GI:15232797) is finished	(188.3 mins )
6/8581	(GI:18400304) is finished	(171.82 mins )
7/8581	(GI:42566182) is finished	(191.05 mins )
8/8581	(GI:15233350) is finished	(197.92 mins )
9/8581	(GI:15233389) is finished	(216.58 mins )
10/8581	(GI:18401345) is finished	(212.01 mins )
11/8581	(GI:30682473) is finished	(236.3 mins )
12/8581	(GI:15231146) is finished	(219.69 mins )
13/8581	(GI:15234758) is finished	(205.83 mins )
14/8581	(GI:15230686) is finished	(223.23 mins )
15/8581	(GI:18413296) is finished	(210.98 mins )
16/8581	(GI:79466101) is finished	(211.9 mins )
17/8581	(GI:186509807) is finished	(201.35 mins )
18/8581	(GI:240255837) is finished	(205.8 mins )
19/8581	(GI:30684193) is finished	(202.04 mins )
20/8581	(GI:15233004) is finished	(216.76 mins )
21/8581	(GI:42564060) is finished	(210.74 mins )
22/8581	(GI:30688447) is finished	(208.12 mins )
23/8581	(GI:15233516) is finished	(208.41 mins )
24/8581	(GI:145332605) is finished	(207.34 mins )
25/8581	(GI:15234084) is finished	(201.88 mins )
26/8581	(GI:15230279) is finished	(203.03 mins )
27/8581	(GI:15230973) is finished	(204.87 mins )
28/8581	(GI:240255297) is finished	(199.99 mins )
29/8581	(GI:18399930) is finished	(194.51 mins )
30/8581	(GI:186510852) is finished	(191.75 mins )
31/8581	(GI:15230751) is finished	(186.67 mins )
32/8581	(GI:15235661) is finished	(190.73 mins )
33/8581	(GI:30693932) is finished	(188.69 mins )
34/8581	(GI:18409908) is finished	(189.12 mins )
35/8581	(GI:22331720) is finished	(190.27 mins )
36/8581	(GI:145332014) is finished	(189.24 mins )
37/8581	(GI:186510102) is finished	(185.09 mins )
38/8581	(GI:22331385) is finished	(194.03 mins )
39/8581	(GI:15232603) is finished	(191.29 mins )
40/8581	(GI:30695425) is finished	(189.38 mins )
41/8581	(GI:15229520) is finished	(186.5 mins )
42/8581	(GI:30689737) is finished	(183.96 mins )
43/8581	(GI:42565925) is finished	(181.63 mins )
44/8581	(GI:79313999) is finished	(179.93 mins )
45/8581	(GI:15234521) is finished	(183.08 mins )
46/8581	(GI:15228208) is finished	(180.03 mins )
47/8581	(GI:18407961) is finished	(181.47 mins )
48/8581	(GI:240255663) is finished	(179.23 mins )
49/8581	(GI:186511862) is finished	(177.15 mins )
50/8581	(GI:30692870) is finished	(175.87 mins )
51/8581	(GI:15232651) is finished	(177.06 mins )
52/8581	(GI:22330992) is finished	(178.19 mins )
53/8581	(GI:15228895) is finished	(176.25 mins )
54/8581	(GI:18396691) is finished	(175.4 mins )
55/8581	(GI:18399293) is finished	(174.89 mins )
56/8581	(GI:18399058) is finished	(173.64 mins )
57/8581	(GI:18399737) is finished	(171.91 mins )
58/8581	(GI:15233037) is finished	(173.91 mins )
59/8581	(GI:15232701) is finished	(172.1 mins )
60/8581	(GI:30683193) is finished	(173.12 mins )
61/8581	(GI:15230510) is finished	(173.09 mins )
62/8581	(GI:22331230) is finished	(176.74 mins )
63/8581	(GI:15231015) is finished	(178.77 mins )
64/8581	(GI:15232235) is finished	(178.02 mins )
65/8581	(GI:22331443) is finished	(181.96 mins )
66/8581	(GI:15231021) is finished	(183.4 mins )
67/8581	(GI:15231353) is finished	(185.76 mins )
68/8581	(GI:18400144) is finished	(184.01 mins )
69/8581	(GI:15228432) is finished	(181.88 mins )
70/8581	(GI:18413990) is finished	(180.64 mins )
71/8581	(GI:30680341) is finished	(179.03 mins )
72/8581	(GI:15228281) is finished	(180.94 mins )
73/8581	(GI:42566031) is finished	(182.63 mins )
74/8581	(GI:186509843) is finished	(184.72 mins )
75/8581	(GI:238479717) is finished	(185.84 mins )
76/8581	(GI:15230764) is finished	(184.9 mins )
77/8581	(GI:79314333) is finished	(186.4 mins )
78/8581	(GI:79314589) is finished	(185.63 mins )
79/8581	(GI:18396912) is finished	(185.23 mins )
80/8581	(GI:79315925) is finished	(184.76 mins )
81/8581	(GI:238480299) is finished	(188.18 mins )
82/8581	(GI:22331451) is finished	(187.88 mins )
83/8581	(GI:15230562) is finished	(187.24 mins )
84/8581	(GI:15233259) is finished	(194.05 mins )
85/8581	(GI:18396717) is finished	(194.18 mins )
86/8581	(GI:18404806) is finished	(192.35 mins )
87/8581	(GI:42565903) is finished	(191.43 mins )
88/8581	(GI:79325059) is finished	(192.03 mins )
89/8581	(GI:240255371) is finished	(192.45 mins )
90/8581	(GI:18401370) is finished	(193.01 mins )
91/8581	(GI:30693513) is finished	(193.49 mins )
92/8581	(GI:186511761) is finished	(193.1 mins )
93/8581	(GI:15228598) is finished	(195.72 mins )
94/8581	(GI:18412245) is finished	(194.45 mins )
95/8581	(GI:15230300) is finished	(193.07 mins )
96/8581	(GI:15231569) is finished	(193.56 mins )
97/8581	(GI:18398414) is finished	(191.93 mins )
98/8581	(GI:18404563) is finished	(191.81 mins )
99/8581	(GI:42570051) is finished	(191.0 mins )
100/8581	(GI:79313361) is finished	(189.54 mins )
101/8581	(GI:42572873) is finished	(188.62 mins )
102/8581	(GI:18410977) is finished	(190.02 mins )
103/8581	(GI:15233391) is finished	(191.65 mins )
104/8581	(GI:30679555) is finished	(190.52 mins )
105/8581	(GI:15233714) is finished	(190.6 mins )
106/8581	(GI:79313273) is finished	(189.44 mins )
107/8581	(GI:186511048) is finished	(190.51 mins )
108/8581	(GI:240255729) is finished	(191.98 mins )
109/8581	(GI:18411240) is finished	(191.5 mins )
110/8581	(GI:79316065) is finished	(190.35 mins )
111/8581	(GI:30682841) is finished	(192.22 mins )
112/8581	(GI:15235202) is finished	(191.82 mins )
113/8581	(GI:30688845) is finished	(190.73 mins )
114/8581	(GI:42572659) is finished	(191.72 mins )
115/8581	(GI:42572719) is finished	(193.06 mins )
116/8581	(GI:18399630) is finished	(192.13 mins )
117/8581	(GI:22328426) is finished	(191.03 mins )
118/8581	(GI:30681787) is finished	(191.19 mins )
119/8581	(GI:42572481) is finished	(191.2 mins )
120/8581	(GI:145322924) is finished	(191.83 mins )
121/8581	(GI:15231816) is finished	(191.2 mins )
122/8581	(GI:15230053) is finished	(191.12 mins )
123/8581	(GI:15228956) is finished	(191.28 mins )
124/8581	(GI:15230659) is finished	(191.17 mins )
125/8581	(GI:15229824) is finished	(190.39 mins )
126/8581	(GI:186509907) is finished	(189.13 mins )
127/8581	(GI:15232853) is finished	(188.17 mins )
128/8581	(GI:15232437) is finished	(188.99 mins )
129/8581	(GI:15232345) is finished	(189.78 mins )
130/8581	(GI:18398092) is finished	(188.6 mins )
131/8581	(GI:15228218) is finished	(190.95 mins )
132/8581	(GI:79312790) is finished	(190.98 mins )
133/8581	(GI:15232389) is finished	(191.71 mins )
134/8581	(GI:15228722) is finished	(192.72 mins )
135/8581	(GI:42565815) is finished	(191.79 mins )
136/8581	(GI:15231489) is finished	(191.11 mins )
137/8581	(GI:240255713) is finished	(191.79 mins )
138/8581	(GI:15234480) is finished	(190.86 mins )
139/8581	(GI:15236326) is finished	(190.86 mins )
140/8581	(GI:18414447) is finished	(190.46 mins )
141/8581	(GI:240255624) is finished	(189.4 mins )
142/8581	(GI:15230160) is finished	(188.58 mins )
143/8581	(GI:145332595) is finished	(187.72 mins )
144/8581	(GI:15229547) is finished	(188.0 mins )
145/8581	(GI:145332729) is finished	(187.13 mins )
146/8581	(GI:186510342) is finished	(186.27 mins )
147/8581	(GI:18411878) is finished	(186.17 mins )
148/8581	(GI:15231701) is finished	(185.39 mins )
149/8581	(GI:22328630) is finished	(185.11 mins )
150/8581	(GI:30694193) is finished	(185.25 mins )
151/8581	(GI:15230600) is finished	(185.64 mins )
152/8581	(GI:30683149) is finished	(185.34 mins )
153/8581	(GI:30679624) is finished	(186.02 mins )
154/8581	(GI:15236527) is finished	(186.09 mins )
155/8581	(GI:15236243) is finished	(186.79 mins )
156/8581	(GI:18397669) is finished	(186.06 mins )
157/8581	(GI:238480245) is finished	(185.33 mins )
158/8581	(GI:186510077) is finished	(184.82 mins )
159/8581	(GI:15228389) is finished	(184.48 mins )
160/8581	(GI:15229244) is finished	(184.14 mins )
161/8581	(GI:30682479) is finished	(186.12 mins )
162/8581	(GI:15229088) is finished	(187.0 mins )
163/8581	(GI:15230886) is finished	(186.63 mins )
164/8581	(GI:238480028) is finished	(186.12 mins )
165/8581	(GI:238480259) is finished	(185.22 mins )
166/8581	(GI:18407949) is finished	(185.23 mins )
167/8581	(GI:186510494) is finished	(185.17 mins )
168/8581	(GI:186509954) is finished	(184.55 mins )
169/8581	(GI:145331972) is finished	(184.84 mins )
170/8581	(GI:15229347) is finished	(184.14 mins )
171/8581	(GI:30678379) is finished	(185.23 mins )
172/8581	(GI:18397751) is finished	(184.37 mins )
173/8581	(GI:145339285) is finished	(183.68 mins )
174/8581	(GI:30681315) is finished	(183.1 mins )
175/8581	(GI:15228994) is finished	(182.48 mins )
176/8581	(GI:42566192) is finished	(182.49 mins )
177/8581	(GI:145333127) is finished	(183.13 mins )
178/8581	(GI:186510537) is finished	(182.31 mins )
179/8581	(GI:79313961) is finished	(182.99 mins )
180/8581	(GI:15229333) is finished	(183.33 mins )
181/8581	(GI:145332613) is finished	(183.35 mins )
182/8581	(GI:186510073) is finished	(182.49 mins )
183/8581	(GI:15228729) is finished	(182.22 mins )
184/8581	(GI:15230088) is finished	(181.44 mins )
185/8581	(GI:30692957) is finished	(181.55 mins )
186/8581	(GI:15232817) is finished	(180.92 mins )
187/8581	(GI:30694601) is finished	(181.41 mins )
188/8581	(GI:30688768) is finished	(181.06 mins )
189/8581	(GI:186510236) is finished	(181.28 mins )
190/8581	(GI:42572459) is finished	(181.14 mins )
191/8581	(GI:15228955) is finished	(181.48 mins )
192/8581	(GI:30678328) is finished	(180.91 mins )
193/8581	(GI:15228589) is finished	(180.14 mins )
194/8581	(GI:30693668) is finished	(180.09 mins )
195/8581	(GI:15234255) is finished	(179.81 mins )
196/8581	(GI:42572635) is finished	(179.65 mins )
197/8581	(GI:186511433) is finished	(178.91 mins )
198/8581	(GI:18398604) is finished	(178.34 mins )
199/8581	(GI:240255379) is finished	(177.61 mins )
200/8581	(GI:145331722) is finished	(177.54 mins )
201/8581	(GI:15233248) is finished	(177.38 mins )
202/8581	(GI:18397984) is finished	(178.06 mins )
203/8581	(GI:18395962) is finished	(177.53 mins )
204/8581	(GI:15235452) is finished	(177.28 mins )
205/8581	(GI:18411435) is finished	(176.73 mins )
206/8581	(GI:238480123) is finished	(176.34 mins )
