GI number	Length	Count
GI:7525013	353	2
GI:126022795	504	1
GI:7525015	79	1
GI:7525016	61	1
GI:7525017	36	0
GI:7525018	507	3
GI:7525019	184	1
GI:7525020	81	1
GI:7525021	249	1
GI:7525022	236	1
GI:7525023	1376	1
GI:7525024	680	1
GI:7525025	1072	1
GI:7525026	29	0
GI:7525027	34	0
GI:7525028	353	2
GI:7525029	473	1
GI:7525030	62	1
GI:7525031	100	1
GI:7525032	734	2
GI:7525033	750	2
GI:157011953	168	1
GI:7525035	201	1
GI:7525036	158	1
GI:7525037	225	2
GI:7525038	120	1
GI:7525039	132	1
GI:7525040	498	6
GI:7525041	479	3
GI:7525042	488	1
GI:7525043	37	0
GI:7525044	184	1
GI:7525045	229	1
GI:7525046	320	1
GI:7525047	40	0
GI:7525048	38	0
GI:7525049	39	0
GI:7525050	83	1
GI:7525051	31	0
GI:7525052	37	0
GI:7525053	44	0
GI:7525054	66	1
GI:7525055	101	1
GI:7525056	117	1
GI:7525057	123	4
GI:7525058	196	8
GI:7525059	508	1
GI:7525060	33	0
GI:7525061	43	0
GI:7525062	73	1
GI:7525063	215	3
GI:7525064	160	1
GI:7525065	329	1
GI:7525066	138	1
GI:7525067	37	0
GI:7525068	134	1
GI:7525069	122	3
GI:7525070	135	3
GI:7525071	218	1
GI:7525072	160	1
GI:7525073	92	1
GI:7525074	274	7
GI:7525075	93	2
GI:7525076	2294	2
GI:94421437	512	4
GI:7525079	155	2
GI:7525080	123	4
GI:7525081	343	4
GI:7525082	746	2
GI:7525083	52	1
GI:7525084	328	1
GI:90110725	500	1
GI:7525086	81	1
GI:7525087	101	1
GI:7525088	176	1
GI:7525089	172	1
GI:7525090	360	2
GI:7525091	393	2
GI:7525092	88	1
GI:7525093	1786	4
GI:7525094	155	2
GI:94421438	512	4
GI:7525097	2294	2
GI:7525098	93	2
GI:7525099	274	7
GI:13449291	153	1
GI:13449292	107	1
GI:13449294	131	1
GI:13449293	315	5
GI:13449296	190	1
GI:13449297	179	3
GI:13449298	556	1
GI:13449299	206	1
GI:13449300	143	1
GI:13449301	121	1
GI:13449302	167	1
GI:13449303	116	1
GI:13449304	260	3
GI:13449305	139	3
GI:13449306	452	1
GI:13449307	107	2
GI:13449308	185	2
GI:13449309	393	3
GI:13449310	111	2
GI:13449311	101	1
GI:13449312	205	1
GI:13449313	110	3
GI:13449315	362	2
GI:13449316	145	1
GI:13449318	127	1
GI:13449317	154	2
GI:13449319	199	4
GI:13449320	157	1
GI:13449321	385	3
GI:13449322	106	3
GI:13449323	152	3
GI:13449324	106	1
GI:13449325	122	2
GI:13449326	158	2
GI:13449327	107	1
GI:13449328	141	2
GI:13449329	394	2
GI:13449330	672	1
GI:13449331	109	2
GI:13449332	122	2
GI:13449333	160	3
GI:13449334	349	2
GI:13449335	286	1
GI:13449336	495	2
GI:13449337	313	4
GI:13449338	106	1
GI:13449339	161	2
GI:13449340	139	3
GI:13449341	110	1
GI:13449342	192	1
GI:13449343	100	1
GI:13449344	149	1
GI:13449295	669	2
GI:13449345	275	2
GI:13449346	122	1
GI:13449347	240	1
GI:13449348	120	1
GI:13449349	107	1
GI:26556997	265	2
GI:13449351	100	1
GI:13449352	119	1
GI:13449353	109	1
GI:13449354	100	1
GI:13449355	240	2
GI:13449356	170	2
GI:26556998	382	1
GI:13449358	121	1
GI:13449359	107	1
GI:13449360	158	1
GI:13449362	187	1
GI:13449361	184	1
GI:13449363	106	1
GI:26556999	256	3
GI:13449365	215	4
GI:13449366	215	2
GI:13449367	164	3
GI:26557000	203	2
GI:13449369	117	2
GI:26557001	125	4
GI:26557002	119	2
GI:13449372	114	1
GI:13449373	118	2
GI:13449374	153	3
GI:13449375	106	2
GI:13449376	107	1
GI:13449377	159	2
GI:13449378	107	1
GI:26557003	85	3
GI:13449380	262	3
GI:13449381	105	1
GI:13449382	251	3
GI:13449384	106	1
GI:13449385	152	3
GI:13449386	106	3
GI:13449387	349	3
GI:13449388	111	2
GI:26557005	507	3
GI:13449390	294	2
GI:13449391	101	1
GI:13449392	113	2
GI:13449393	145	1
GI:13449394	100	1
GI:13449395	122	1
GI:13449396	205	1
GI:13449397	148	2
GI:92090944	325	3
GI:13449398	291	3
GI:13449399	111	1
GI:13449400	136	2
GI:13449401	136	2
GI:13449402	127	1
GI:13449314	499	4
GI:13449403	145	1
GI:13449404	527	1
GI:13449405	111	1
GI:13449406	105	1
GI:13449407	204	3
GI:15223276	429	19
GI:79332834	245	3
GI:79316210	191	3
GI:15223284	358	15
GI:15223286	1909	9
GI:15223288	212	5
GI:15223290	645	21
GI:30677876	645	21
GI:145323696	644	21
GI:79316217	645	21
GI:42571287	318	42
GI:18378792	365	45
