GI number	Length	Count
GI:18411840	355	2
GI:30699309	274	6
GI:79321441	274	6
GI:22330712	650	14
GI:30699311	221	2
GI:186496189	95	1
GI:145337703	418	15
GI:15218237	124	2
GI:18411863	283	42
GI:42572155	283	42
GI:18411865	314	9
GI:18411867	245	23
GI:79384765	681	3
GI:238479105	684	42
GI:42563316	684	42
GI:42572157	271	15
GI:18411885	287	15
GI:15218268	489	49
GI:240254396	943	2
GI:42572159	343	50
GI:145327727	343	50
GI:18411901	259	23
GI:18411903	311	1
GI:15218301	220	28
GI:15218304	218	29
GI:15218308	222	28
GI:15218311	217	28
GI:18411929	219	29
GI:15218314	657	7
GI:22330722	404	50
GI:18411945	108	2
GI:18411948	401	2
GI:145337709	324	3
GI:15218350	329	37
GI:18411970	225	3
GI:15218357	219	3
GI:15218359	342	7
GI:15218386	202	11
GI:15218388	479	24
GI:15218390	767	16
GI:145327729	367	15
GI:30699332	406	15
GI:240254398	115	6
GI:15218397	355	50
GI:145337714	668	2
GI:15218400	356	48
GI:18412023	401	6
GI:15218420	669	4
GI:15218422	942	12
GI:30699338	317	1
GI:18412037	299	9
GI:15218429	856	9
GI:18412044	333	2
GI:42572161	342	2
GI:15218435	241	1
GI:15218437	487	3
GI:18412056	509	1
GI:42572163	348	5
GI:15218440	348	5
GI:30699346	347	5
GI:15219153	352	5
GI:30699349	347	5
GI:15219155	284	3
GI:18412073	325	11
GI:238479111	299	35
GI:15219157	359	40
GI:15219158	475	4
GI:22330724	420	45
GI:79385518	287	31
GI:15219161	458	49
GI:15219162	452	47
GI:18412102	543	1
GI:30699354	176	4
GI:145327731	176	4
GI:145327733	235	4
GI:18412106	238	4
GI:145327735	86	2
GI:30699356	104	2
GI:22330726	403	1
GI:22330728	481	2
GI:42572165	480	2
GI:18412120	195	11
GI:15219197	455	5
GI:18412129	455	5
GI:15219199	439	44
GI:15219200	441	5
GI:15219201	443	5
GI:18412149	153	39
GI:79321461	112	28
GI:79590480	154	37
GI:15219232	468	3
GI:186496305	25	0
GI:18412160	155	5
GI:18412164	164	2
GI:79321468	623	3
GI:15219234	623	3
GI:42563328	478	2
GI:22330732	385	1
GI:18412180	802	5
GI:186496309	802	5
GI:186496311	222	1
GI:30699372	591	6
GI:30699374	680	50
GI:22330734	759	17
GI:22330736	769	17
GI:30699377	763	17
GI:30699380	757	17
GI:15219261	757	17
GI:79386544	699	49
GI:15219263	455	4
GI:18412218	159	1
GI:186496330	1697	7
GI:15219265	222	2
GI:30699384	453	2
GI:30699386	416	3
GI:15219268	140	1
GI:145327737	343	5
GI:18412241	439	5
GI:15219270	396	3
GI:30699390	138	1
GI:30699392	576	4
GI:18412257	793	4
GI:30699394	793	4
